"filename", "language", "Ignore", "Python", "YAML", "JSON", "JavaScript", "JSON with Comments", "PostCSS", "TypeScript", "HTML", "MS SQL", "comment", "blank", "total"
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 848, 0, 0, 0, 15, 147, 1010
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 264, 0, 1, 32, 297
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\perfil-postulante\perfil-postulante.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 358, 0, 0, 3, 63, 424
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\register\register.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 136, 0, 0, 0, 7, 23, 166
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\register\register.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 111, 0, 2, 24, 137
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 4, 27, 156
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.css", "PostCSS", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 4, 17, 160
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 87, 0, 3, 16, 106
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 6, 40
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\pages\reset-password\reset-password.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 34, 156
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\api.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\api.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 127, 0, 0, 1, 37, 165
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\auth.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 5, 26
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\auth.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 16, 69
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\servicios.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 87, 0, 0, 9, 11, 107
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\app\services\theme.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 2, 13, 66
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\assets\sepomex_gto.json", "JSON", 0, 0, 0, 71556, 0, 0, 0, 0, 0, 0, 0, 0, 71556
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\environments\environment.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\TrabajoChambee\Proyecto-Chambee\frontend\src\styles.css", "PostCSS", 0, 0, 0, 0, 0, 0, 283, 0, 0, 0, 2, 47, 332
"c:\TrabajoChambee\Proyecto-Chambee\frontend\tsconfig.app.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\TrabajoChambee\Proyecto-Chambee\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 1, 2, 35
"c:\TrabajoChambee\Proyecto-Chambee\frontend\tsconfig.spec.json", "JSON", 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 1, 1, 15
"c:\TrabajoChambee\Proyecto-Chambee\package-lock.json", "JSON", 0, 0, 0, 1241, 0, 0, 0, 0, 0, 0, 0, 1, 1242
"c:\TrabajoChambee\Proyecto-Chambee\package.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\TrabajoChambee\Proyecto-Chambee\scratch\check_html.py", "Python", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15, 64
"Total", "-", 6, 43, 52, 87679, 1464, 32, 9327, 5730, 3590, 645, 546, 3423, 112537
